,Place,Age,Country,Genres,Number of genres,Years active,Gender
2 Chainz,46,46,U.S.,rap,3,26,male
21 Savage,33,31,U.S.,rap,3,10,female
24kGoldn,45,23,U.S.,pop,4,7,male
3OH!3,45,38,U.S.,rock,5,19,male
5 Seconds Of Summer,22,27,Australia,rock,3,12,male
50 Cent,47,48,U.S.,hip hop,1,27,male
6ix9ine,28,27,U.S.,rap,3,11,male
A Boogie Wit da Hoodie,24,28,U.S.,rap,4,8,male
A Great Big World,85,38,U.S.,rock,2,12,male
A$AP Rocky,76,35,U.S.,rap,3,16,male
AC/DC,74,70,Australia,rock,3,50,male
AWOLNATION,64,44,U.S.,rock,6,14,male
Adam Lambert,27,41,U.S.,rock,4,22,male
Adele,1,35,UK,pop,2,17,female
Akon,1,50,U.S.,pop,3,27,male
Alessia Cara,27,27,Canada,pop,2,9,female
Alicia Keys,4,42,U.S.,pop,2,30,female
Aloe Blacc,77,44,U.S.,pop,5,28,male
American Authors,63,33,U.S.,rock,5,17,male
Amy Winehouse,41,28,England,r&b,4,9,female
Anderson .Paak,61,37,U.S.,pop,5,16,male
Andy Grammer,53,40,U.S.,rock,4,16,male
Andy Williams,80,85,U.S.,pop,1,74,male
Arctic Monkeys,89,46,England,rock,5,21,male
Ariana Grande,2,30,U.S.,pop,2,15,female
Austin Mahone,72,27,U.S.,pop,3,13,male
Ava Max,59,29,U.S.,pop,2,10,female
Avicii,32,29,Sweden,electro,2,12,male
Avril Lavigne,8,39,Canada,rock,5,24,female
B.o.B,14,35,U.S.,rock,4,17,male
BTS,8,28,South Korea,pop,4,10,male
Baauer,23,34,U.S.,rap,3,12,male
Baby Keem,92,23,U.S.,rap,4,6,male
Backstreet Boys,83,47,U.S.,pop,3,30,male
Bad Bunny,1,29,Puerto Rico,rap,6,10,male
Bebe Rexha,34,34,U.S.,pop,1,13,female
Becky G,92,26,U.S.,pop,8,15,female
Beyonce,2,42,U.S.,pop,3,26,male
Big Sean,32,35,U.S.,hip hop,1,16,male
Billie Eilish,3,22,U.S.,pop,3,8,female
Billy Currington,72,50,U.S.,rock,3,27,male
Billy Joel,69,74,U.S.,rock,2,59,male
Blake Shelton,16,47,U.S.,country,1,22,male
BlocBoy JB,77,27,U.S.,rap,3,11,male
Blueface,77,26,U.S.,rap,3,6,male
Bon Jovi,26,73,U.S.,rock,3,40,male
Bow Wow,43,67,Japan,rock,2,48,male
Brad Paisley,28,51,U.S.,country,1,25,male
Brantley Gilbert,44,38,U.S.,rock,2,18,male
Brent Faiyaz,94,28,U.S.,r&b,1,10,male
Brett Young,66,42,California,pop,2,16,male
Britney Spears,7,42,U.S.,pop,3,31,female
Bruno Mars,1,38,U.S.,rock,6,19,male
Bryson Tiller,17,30,U.S.,rap,5,12,male
CJ,94,26,U.S.,rap,3,6,male
CKay,98,28,Nigeria,pop,3,7,female
Calvin Harris,48,39,Scotland,pop,5,21,male
Camila Cabello,10,26,Cuba,pop,2,11,female
Capital Cities,75,22,U.S.,pop,3,15,male
Cardi B,5,31,U.S.,hip hop,1,8,male
Carrie Underwood,5,40,U.S.,rock,4,18,female
Casting Crowns,66,54,U.S.,rock,2,24,male
CeeLo Green,30,48,U.S.,hip hop,5,32,male
Celine Dion,70,55,Canada,rock,2,43,female
Chamillionaire,24,44,U.S.,hip hop,1,26,male
Chance The Rapper,80,30,U.S.,hip hop,3,12,male
Charli XCX,37,31,England,pop,3,15,female
Charlie Puth,32,32,U.S.,pop,2,14,male
Chencho Corleone,96,44,Puerto Rico,reggae,2,24,male
Cher,91,77,U.S.,rock,5,60,female
Childish Gambino,40,40,U.S.,pop,6,18,male
Chris Brown,1,34,U.S.,pop,3,21,male
Chris Stapleton,27,45,U.S.,rock,3,22,male
Chris Young,85,38,U.S.,country,1,21,male
Christina Aguilera,35,43,U.S.,pop,5,30,female
Ciara,21,38,U.S.,pop,4,20,female
City Girls,76,21,U.S.,rap,3,6,male
Cody Johnson,55,36,U.S.,rock,2,17,male
Colbie Caillat,16,38,California,rock,4,19,male
Coldplay,9,54,England,rock,3,26,male
Cole Swindell,51,40,U.S.,pop,2,10,male
DJ Khaled,20,48,U.S.,hip hop,1,25,male
DJ Snake,59,37,France,rap,4,23,male
DNCE,36,35,U.S.,rock,5,8,male
DaBaby,4,32,U.S.,rap,3,9,male
Daddy Yankee,67,46,Puerto Rico,hip hop,4,29,male
Daniel Powter,18,52,Canada,rock,3,39,male
Darius Rucker,41,57,U.S.,rock,6,37,male
Daughtry,4,44,U.S.,rock,3,17,male
Dave Matthews Band,78,84,U.S.,rock,6,32,male
David Bowie,81,69,England,rock,3,54,male
David Cook,33,41,U.S.,rock,4,22,male
David Guetta,20,56,France,pop,3,37,male
Daya,41,25,U.S.,pop,2,8,female
Demi Lovato,27,31,U.S.,rock,3,21,female
Desiigner,22,26,U.S.,rap,3,8,male
Dierks Bentley,71,48,U.S.,country,1,22,male
Disturbed,87,51,U.S.,rock,3,29,male
Doja Cat,6,28,U.S.,pop,3,11,female
Don Omar,71,45,U.S.,hip hop,3,27,male
Don Toliver,71,29,U.S.,rap,4,8,male
Dove Cameron,90,27,U.S.,pop,1,16,female
Dr. Dre,96,58,U.S.,rap,3,38,male
Drake,1,37,Canada,pop,5,22,male
EXO,76,52,South Korea,pop,6,11,male
Easton Corbin,78,41,U.S.,country,1,18,male
Ed Sheeran,1,32,England,rock,4,19,male
Ella Mai,33,29,Englan,r&b,1,9,female
Elle King,75,34,U.S.,rock,4,25,male
Ellie Goulding,20,37,England,pop,4,14,female
Elton John,22,76,England,rock,2,61,male
Em Beihold,69,24,U.S.,pop,1,6,female
Eminem,3,51,U.S.,hip hop,1,35,male
Enrique Iglesias,27,48,U.S.,pop,2,28,male
Eric Church,34,46,U.S.,rock,2,18,male
Fall Out Boy,17,41,U.S.,rock,5,22,male
Fergie,2,48,U.S.,pop,2,39,female
Fetty Wap,8,32,U.S.,rap,3,10,male
Fifth Harmony,27,27,U.S.,pop,2,11,male
Fleetwood Mac,55,73,England,rock,4,56,male
Flo Rida,11,44,U.S.,pop,4,23,male
Florence + The Machine,66,42,England,pop,4,16,male
Foo Fighters,64,55,U.S.,rock,4,29,male
Foster The People,44,39,U.S.,rock,5,14,male
Frank Ocean,77,36,U.S.,pop,5,18,male
French Montana,65,39,U.S.,hip hop,1,21,male
G-Eazy,23,34,U.S.,hip hop,1,17,male
GAYLE,49,19,U.S.,rock,3,12,male
Garth Brooks,50,61,U.S.,rock,3,38,male
Gavin DeGraw,97,46,U.S.,rock,3,25,male
George Strait,34,71,U.S.,country,1,47,male
Giveon,32,28,U.S.,r&b,1,5,male
Gnarls Barkley,22,47,U.S.,rock,3,20,male
Gotye,24,43,Australia,rock,4,22,male
Green Day,38,51,U.S.,rock,5,36,male
Gucci Mane,37,43,U.S.,rap,3,22,male
Gunna,32,30,U.S.,rap,3,10,male
Guns N' Roses,16,55,U.S.,rock,2,38,male
Gwen Stefani,10,54,U.S.,rock,5,37,female
H.E.R.,61,26,U.S.,r&b,1,12,female
Halsey,10,29,U.S.,rock,4,11,female
Harry Styles,3,29,England,rock,2,13,male
Hayley Williams,91,35,U.S.,rock,5,20,female
Hinder,24,56,U.S.,rock,2,22,male
Hozier,18,33,Ireland,rock,5,15,male
Hunter Hayes,34,32,U.S.,rock,6,30,male
Idina Menzel,48,52,U.S.,rock,2,28,female
Iggy Azalea,6,33,Australia,hip hop,1,12,male
Imagine Dragons,7,37,U.S.,rock,5,15,male
Iyaz,31,36,British Virgin Islands,hip hop,3,14,male
J Balvin,63,38,Colombia,rap,5,19,male
J. Cole,22,38,U.S.,hip hop,1,16,male
J.I.D,83,33,U.S.,hip hop,1,13,male
JAY-Z,18,54,U.S.,hip hop,1,37,male
Jack Harlow,14,25,U.S.,pop,3,12,male
Jack Johnson,75,48,U.S.,rock,4,31,male
James Blunt,11,49,UK,rock,3,20,male
Jamie Foxx,23,56,U.S.,pop,4,34,male
Jason Aldean,13,46,U.S.,rock,2,25,male
Jason Derulo,13,34,U.S.,pop,2,17,male
Jason Mraz,15,46,U.S.,rock,5,24,male
Jay Sean,38,42,England,pop,5,21,male
Jennifer Lopez,43,54,U.S.,pop,5,37,female
Jeremih,47,36,U.S.,r&b,1,15,male
Jessie J,74,35,England,pop,1,18,female
Jhene Aiko,50,35,U.S.,r&b,1,21,male
John Legend,14,45,U.S.,pop,3,26,male
Joji,85,31,Japan,hip hop,3,17,male
Jon Pardi,79,38,U.S.,country,1,11,male
Jonas Brothers,9,33,U.S.,rock,3,18,male
Jordan Davis,81,35,Louisiana,pop,2,6,male
Josh Groban,15,42,U.S.,rock,4,26,female
Josh Turner,50,46,Tennessee,country,1,22,female
Journey,92,85,U.S.,rock,2,50,male
Juelz Santana,48,41,U.S.,hip hop,1,29,male
Juice WRLD,6,21,U.S.,rock,7,4,male
Juicy J,65,48,U.S.,rap,3,36,male
Julia Michaels,75,30,U.S.,pop,2,13,female
Justin Bieber,2,29,Canada,pop,3,16,male
Justin Timberlake,3,42,U.S.,pop,4,31,male
KT Tunstall,41,48,Scotland,rock,5,23,female
Kali Uchis,81,29,U.S.,hip hop,3,11,female
Kane Brown,31,30,U.S.,pop,3,9,male
Kanye West,6,46,U.S.,pop,4,27,male
Karol G,47,32,Colombia,reggae,2,16,female
Kate Bush,46,65,England,rock,2,48,female
Katy Perry,2,39,U.S.,rock,3,22,female
Ke$ha,5,36,U.S.,rock,5,18,female
Keith Urban,32,56,Australia,rock,4,33,male
Kelly Clarkson,14,41,U.S.,rock,2,23,female
Kelly Rowland,82,42,U.S.,pop,5,26,female
Kendrick Lamar,4,36,U.S.,rap,3,20,male
Kenny Chesney,22,55,U.S.,rock,2,35,male
Keri Hilson,29,41,U.S.,pop,3,21,female
Kesha,95,36,U.S.,rock,5,18,female
Kevin Gates,34,37,U.S.,hip hop,1,16,male
Keyshia Cole,29,42,U.S.,hip hop,3,19,female
Kid Cudi,42,39,U.S.,rock,3,20,male
Kid Rock,28,52,U.S.,rock,5,35,male
Kiiara,82,28,U.S.,pop,4,10,female
Kimbra,84,33,Australia,rock,4,23,female
King Von,77,26,U.S.,rap,3,2,male
Kip Moore,87,43,U.S.,rock,2,15,male
Kodak Black,30,26,U.S.,rap,3,14,male
Kris Allen,57,38,U.S.,rock,4,16,male
Lady A,4,40,U.S.,pop,2,17,male
Lady Gaga,1,37,U.S.,rock,5,22,female
Lana Del Rey,53,38,U.S.,rock,3,18,female
Latto,34,25,U.S.,pop,4,7,female
Lauren Daigle,47,32,U.S.,pop,2,13,female
Lauv,78,29,U.S.,pop,4,15,male
Lee Brice,83,44,Tennessee,country,1,16,male
Leona Lewis,6,38,England,pop,3,17,female
Lewis Capaldi,16,27,Scotland,pop,2,10,male
Liam Payne,69,30,England,pop,2,15,male
Lil Baby,7,29,U.S.,rap,3,8,male
Lil Durk,17,31,U.S.,rap,3,13,male
Lil Mosey,46,21,U.S.,pop,4,7,male
Lil Nas X,9,24,U.S.,rock,6,8,male
Lil Pump,44,23,U.S.,rap,4,8,male
Lil Skies,74,25,U.S.,pop,5,14,male
Lil Tecca,48,21,U.S.,hip hop,1,6,male
Lil Tjay,46,22,U.S.,hip hop,2,7,male
Lil Uzi Vert,12,28,U.S.,pop,5,11,male
Lil Wayne,2,41,U.S.,hip hop,1,28,male
Linkin Park,19,45,U.S.,rock,6,27,male
Lionel Richie,72,74,U.S.,r&b,2,55,male
Lizzo,20,35,U.S.,pop,6,12,female
Lloyd,34,37,U.S.,hip hop,2,20,male
Lorde,11,27,New Zealand,pop,4,14,female
Ludacris,17,46,U.S.,hip hop,1,25,male
Luis Fonsi,61,45,U.S.,rock,6,26,male
Lukas Graham,28,41,Denmark,pop,2,12,male
Luke Bryan,12,47,U.S.,rock,3,27,male
Luke Combs,9,33,U.S.,country,1,9,male
Lupe Fiasco,50,41,U.S.,hip hop,1,13,male
MKTO,96,31,U.S.,pop,2,13,male
Mac Miller,65,26,U.S.,rap,3,11,male
Macklemore & Ryan Lewis,5,37,U.S.,pop,4,14,male
Madonna,23,65,U.S.,pop,3,44,female
Major Lazer,51,39,U.S.,rock,8,15,male
Maren Morris,34,33,U.S.,pop,3,21,female
Mariah Carey,20,54,U.S.,pop,5,35,female
Mark Ronson,13,48,U.S.,rock,7,30,male
Maroon 5,6,51,U.S.,rock,4,29,male
Martin Garrix,81,27,Netherlands,electro,2,11,male
Masked Wolf,52,32,Australia,hip hop,1,5,male
Maxwell,50,50,U.S.,r&b,2,33,male
Meek Mill,21,36,U.S.,hip hop,1,20,male
Megan Thee Stallion,20,28,U.S.,rap,3,7,female
Meghan Trainor,7,30,U.S.,pop,3,14,female
Melanie Fiona,96,40,Canada,pop,4,21,female
Metallica,23,60,U.S.,rock,2,42,male
Metro Boomin,82,30,U.S.,rap,3,14,male
Michael Buble,19,48,Canada,pop,2,29,male
Michael Jackson,28,51,U.S.,rock,8,45,male
Migos,11,32,U.S.,rap,3,15,male
Miguel,59,38,U.S.,r&b,2,23,male
Mike Posner,34,35,U.S.,pop,2,16,male
Miley Cyrus,5,31,U.S.,rock,5,22,female
Mims,29,42,U.S.,hip hop,1,22,male
Miranda Lambert,40,40,U.S.,rock,2,23,female
Moneybagg Yo,25,32,U.S.,rap,3,13,male
Monica,65,43,U.S.,hip hop,3,30,female
Morgan Wallen,5,30,U.S.,pop,2,9,male
Mumford & Sons,22,40,England,rock,4,16,male
Mustard,62,33,U.S.,rap,4,14,male
My Chemical Romance,39,44,U.S.,rock,5,22,male
NF,41,32,U.S.,hip hop,2,13,male
NLE Choppa,82,21,U.S.,rap,3,5,male
Nardo Wick,50,22,U.S.,rap,3,3,male
Natasha Bedingfield,21,42,England,pop,2,22,female
Ne-Yo,5,44,U.S.,r&b,1,25,male
Neil Diamond,86,82,U.S.,rock,4,61,male
Nelly,34,49,U.S.,pop,3,30,male
Nelly Furtado,13,45,Canada,pop,1,27,female
Neon Trees,71,39,U.S.,rock,4,18,male
Niall Horan,29,30,Ireland,rock,4,13,male
Nick Jonas,27,31,U.S.,rock,3,23,male
Nickelback,2,49,Canada,rock,5,28,male
Nicki Minaj,6,41,U.S.,pop,2,19,female
Nipsey Hussle,95,34,U.S.,hip hop,1,14,male
Norah Jones,83,44,U.S.,pop,4,23,male
Normani,61,27,U.S.,pop,2,11,male
OMI,33,37,Jamaica,pop,2,12,male
Of Monsters And Men,81,47,Iceland,rock,4,13,male
Offset,69,32,U.S.,hip hop,1,21,male
Old Dominion,73,47,U.S.,pop,2,16,male
Olivia Rodrigo,2,20,U.S.,rock,3,8,female
Omarion,76,39,U.S.,r&b,1,25,male
One Direction,1,30,England,rock,2,13,male
OneRepublic,15,68,U.S.,rock,3,21,male
Orianthi,76,38,Australia,rock,2,23,male
Ozuna,66,31,Puerto Rico,pop,8,11,male
P!nk,6,44,U.S.,rock,3,28,female
PSY,42,46,South Korea,pop,3,24,male
Paramore,47,34,U.S.,rock,5,19,male
Paul McCartney,53,81,England,rock,4,66,male
Pentatonix,42,39,U.S.,pop,1,12,male
Pharrell Williams,9,50,U.S.,pop,3,33,male
Phillip Phillips,26,33,U.S.,rock,3,11,male
Playboi Carti,73,27,U.S.,rap,4,12,male
Plies,37,47,U.S.,hip hop,1,22,male
Polo G,18,24,U.S.,rap,3,6,male
Pooh Shiesty,42,24,U.S.,rap,3,4,male
Pop Smoke,10,21,U.S.,hip hop,1,2,male
Portugal. The Man,72,42,U.S.,rock,4,19,male
Post Malone,1,28,U.S.,rock,6,12,male
Quavo,82,32,U.S.,rap,3,15,male
Queen,22,76,England,rock,1,53,male
R. Kelly,49,56,U.S.,hip hop,4,34,male
Rae Sremmurd,30,15,U.S.,rap,3,13,male
Randy Houser,97,48,U.S.,country,1,19,male
Rauw Alejandro,93,30,Puerto Rico,rap,6,9,male
Reba McEntire,88,68,U.S.,country,2,48,female
Red Hot Chili Peppers,28,59,U.S.,rock,5,41,male
Rich Homie Quan,83,34,U.S.,rap,2,12,male
Rich The Kid,59,31,U.S.,rap,3,13,male
Rick Ross,84,47,U.S.,hip hop,1,23,male
Rihanna,2,35,Barbados,pop,3,20,female
Robin Thicke,19,46,U.S.,pop,2,29,male
Rod Stewart,82,78,England,rock,6,62,male
Rod Wave,21,24,U.S.,rap,5,7,male
Roddy Ricch,3,25,U.S.,rap,3,6,male
Roger Waters,30,80,England,rock,2,59,male
Romeo Santos,84,42,U.S.,pop,3,29,male
SAINt JHN,47,37,Guyana,rap,4,13,male
SHAED,95,56,D.C.,pop,3,12,male
SZA,33,34,U.S.,r&b,1,12,female
Sade,46,56,England,pop,4,41,male
Sam Hunt,23,39,U.S.,pop,3,15,male
Sam Smith,9,31,England,pop,3,15,male
Sara Bareilles,23,44,U.S.,rock,3,21,female
Saweetie,78,30,U.S.,hip hop,1,9,male
ScHoolboy Q,67,37,U.S.,hip hop,1,16,male
Scotty McCreery,81,30,U.S.,country,1,12,male
Sean Kingston,37,33,Jamaica,hip hop,3,16,male
Sean Paul,4,50,Jamaica,hip hop,4,29,male
Selena Gomez,11,31,U.S.,pop,3,21,female
Shakira,27,46,Colombia,rock,3,33,female
Shania Twain,73,58,Canada,pop,2,40,male
Sheck Wes,92,25,U.S.,hip hop,1,6,male
Shelley FKA DRAM,100,35,U.S.,hip hop,2,14,female
Shinedown,30,44,U.S.,rock,5,22,male
Shontelle,97,38,Barbados,pop,4,15,male
Sia,25,48,Australia,pop,2,28,female
Silento,31,25,U.S.,hip hop,1,8,male
Skrillex,41,35,U.S.,rap,6,19,male
Snoop Dogg,44,52,U.S.,rap,3,31,male
Snow Patrol,43,46,Scotland,rock,4,29,male
Soulja Boy Tell'em,31,33,U.S.,pop,4,19,male
Steve Lacy,42,25,U.S.,rock,7,10,male
Sugarland,21,49,U.S.,pop,2,21,male
Summer Walker,36,27,U.S.,r&b,1,6,male
Susan Boyle,12,62,Scotland,pop,2,25,female
Swae Lee,41,30,U.S.,pop,4,13,male
Swedish House Mafia,84,42,Sweden,electro,2,15,male
T-Pain,9,39,U.S.,pop,4,24,male
T-Wayne,98,33,Texas,hip hop,1,17,male
T.I.,8,43,U.S.,rap,3,24,male
Taio Cruz,15,43,England,pop,3,20,male
Take That,37,52,England,rock,3,33,male
Taylor Swift,1,34,U.S.,rock,5,19,male
The All-American Rejects,12,50,U.S.,rock,5,24,male
The Band Perry,35,44,U.S.,pop,3,18,male
The Black Eyed Peas,4,48,U.S.,pop,6,28,male
The Black Keys,51,43,U.S.,rock,4,22,male
The Fray,9,43,U.S.,rock,4,21,male
The Kid LAROI,15,20,Australia,rock,7,7,male
The Lumineers,20,39,U.S.,rock,3,18,male
The Rolling Stones,32,78,England,rock,3,61,male
The Script,41,43,Ireland,rock,4,22,male
The Wanted,40,33,United Kingdom,pop,2,14,male
The Weeknd,2,33,Canada,pop,5,14,male
The-Dream,38,46,U.S.,hip hop,3,28,male
Thomas Rhett,39,33,U.S.,country,1,13,male
Tim McGraw,23,56,U.S.,country,1,33,male
Timbaland,11,51,U.S.,hip hop,3,37,male
Toby Keith,42,62,U.S.,country,1,30,male
Tory Lanez,60,31,Canada,pop,3,14,male
Tove Lo,35,36,Sweden,pop,4,17,female
Travie McCoy,62,42,U.S.,rock,6,26,male
Travis Scott,6,32,U.S.,pop,4,15,male
Trevor Daniel,48,29,U.S.,pop,3,6,male
Trey Songz,18,39,U.S.,r&b,1,20,male
Trippie Redd,61,24,U.S.,rock,7,9,male
Troye Sivan,62,28,Australia,pop,3,16,male
Ty Dolla $ign,80,41,U.S.,rap,4,19,male
Tyga,47,34,U.S.,hip hop,1,19,male
"Tyler, The Creator",45,32,U.S.,pop,7,16,male
U2,18,62,Ireland,rock,4,47,male
Unk,35,42,U.S.,hip hop,1,25,male
Usher,6,45,U.S.,pop,2,30,male
Vance Joy,81,36,St Kevin's CollegeMonash University,pop,3,10,male
Waka Flocka Flame,73,37,U.S.,rap,3,15,male
Wale,89,39,U.S.,hip hop,1,18,male
Walker Hayes,37,44,U.S.,pop,2,13,male
Wanz,85,62,U.S.,pop,4,43,male
Whitney Houston,38,49,U.S.,pop,5,35,male
Wiz Khalifa,15,36,U.S.,pop,5,18,male
X Ambassadors,71,56,U.S.,rock,4,14,male
YG,62,33,U.S.,hip hop,1,15,male
YNW Melly,44,24,U.S.,rap,4,7,male
Yeat,78,23,U.S.,pop,4,8,male
Young Jeezy,42,46,U.S.,rap,3,26,male
Young Thug,30,32,U.S.,rap,3,13,male
YoungBoy Never Broke Again,17,24,U.S.,rap,3,8,male
Yung Bleu,90,29,U.S.,hip hop,2,10,male
Yung Joc,23,43,U.S.,hip hop,1,20,male
Zac Brown Band,20,60,U.S.,rock,4,21,male
Zach Bryan,41,27,U.S.,country,2,6,male
Zayn,19,30,England,pop,2,13,male
Zedd,88,34,Germany,pop,4,21,male
benny blanco,99,35,U.S.,pop,1,16,male
blackbear,59,33,U.S.,rock,8,17,male
fun.,14,40,U.S.,rock,3,15,male
gnash,97,30,U.S.,pop,6,8,male
twenty one pilots,5,35,U.S.,rock,8,14,male
will.i.am,52,48,U.S.,pop,4,35,male
